,VARIEDAD,SEMANA,BROKER_OPTIMO,GANANCIA_VS_FF,CI_LO,CI_HI,DIRECCION
227,SWEET ARYANA,9,NINGBO XIANFENG FRUIT TRADING,1.8624624538427852,1.3019025447200965,2.4230223581298436,MEJOR
228,SWEET ARYANA,10,CHENS SUN GROUP,0.6616446398220432,-0.6345681772185852,1.9578574568535765,INCIERTO
229,SWEET ARYANA,11,SHENYANG QUPAI TRADING CO. LTD,0.7810251911869273,0.4520363111892918,1.1100140707189015,MEJOR
230,SWEET ARYANA,12,"KINGO FRUITS CO., LTD.",0.1491445627007124,-1.7295511002961184,2.0278402256972727,INCIERTO
231,SWEET ARYANA,13,SHOUYANG FRUIT,0.7881056960904971,0.5018926884135166,1.0743187040003082,MEJOR
232,SWEET ARYANA,14,NINGBO XIANFENG FRUIT TRADING,0.623799289111048,0.47047577009510255,0.7771228062643482,MEJOR
233,SWEET ARYANA,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
234,SWEET HEART,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
235,SWEET HEART,4,SHENYANG QUPAI TRADING CO. LTD,0.6912070702201163,0.6285627476251117,0.7538513928278539,MEJOR
236,SWEET HEART,5,FRUTACLOUD,0.47654839154552375,0.38752102185202775,0.5655757612386636,MEJOR
237,SWEET HEART,6,FRUTACLOUD,0.5771355454091653,0.35118679801120556,0.8030842928071097,MEJOR
238,SWEET HEART,7,"ZHEJIANG SANGO TRADE CO., LTD",6.121672248507821,1.3832562297336324,10.860088267347493,MEJOR
239,SWEET HEART,8,"FUJIAN SUN VIRTUE CO.,LTD",0.9852968604483578,0.8027124662492992,1.1678812546490365,MEJOR
240,SWEET HEART,9,"ZHEJIANG SANGO TRADE CO., LTD",0.807708740234375,0.5930251874096389,1.0223770342700484,MEJOR
241,SWEET HEART,10,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
242,SWEET HEART,11,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
243,SWEET HEART,12,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
244,SWEET HEART,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
245,SWEET HEART,14,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
246,SWEET HEART,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
