BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
SHOUYANG FRUIT,J,9,-0.09038084892494158,-0.13723144025975115,-0.04353025759012714,14985,6,PEOR
SHOUYANG FRUIT,J,10,-0.16685154606977903,-0.293864215161362,-0.039838876978196075,14985,6,PEOR
SHOUYANG FRUIT,J,11,0.4255933567944491,0.00035643896651155194,0.8508302746223878,14985,6,MEJOR
SHOUYANG FRUIT,J,12,29.727852606098168,24.16349207574935,35.292213066481374,14985,6,MEJOR
SHOUYANG FRUIT,J,13,4.084227388399768,2.2691846713535933,5.899270107900213,14985,6,MEJOR
SHOUYANG FRUIT,J,14,0.2248287011428131,-0.06447941525939693,0.5141368175450285,14985,6,INCIERTO
SHOUYANG FRUIT,J,15,3.2715725432426552,-40.11475717463485,46.657902260276146,14985,6,INCIERTO
SHOUYANG FRUIT,XL,3,-0.1824213200638951,-0.3875360824592987,0.022693442331281094,14985,6,INCIERTO
SHOUYANG FRUIT,XL,4,-0.11596206331887515,-0.22939983496340988,-0.002524291645236626,14985,6,PEOR
SHOUYANG FRUIT,XL,5,0.4198118441360359,0.31902104590592134,0.520602642366281,14985,6,MEJOR
SHOUYANG FRUIT,XL,6,0.2759145459151373,0.2171829457573464,0.33464614604762666,14985,6,MEJOR
SHOUYANG FRUIT,XL,7,0.23608993627911712,0.16423362717200687,0.307946245386238,14985,6,MEJOR
SHOUYANG FRUIT,XL,8,-0.5389627066993388,-0.669936999350503,-0.4079884140481737,14985,6,PEOR
SHOUYANG FRUIT,XL,9,336.78710724597084,-664.1364761773741,1337.7106906692884,14985,6,INCIERTO
SHOUYANG FRUIT,XL,10,-0.016518093580089044,-0.10329149786249811,0.07025531062956042,14985,6,INCIERTO
SHOUYANG FRUIT,XL,11,0.1318783222741331,0.05174675081868428,0.21200989374413381,14985,6,MEJOR
SHOUYANG FRUIT,XL,12,-207.86070952928276,-345.911841305458,-69.80957775729854,14985,6,PEOR
SHOUYANG FRUIT,XL,13,-0.16529939839972485,-0.22474259578412065,-0.10585620101538593,14985,6,PEOR
SHOUYANG FRUIT,XL,14,272.62463868188206,-113.40588629620942,658.655156583086,14985,6,INCIERTO
SHOUYANG FRUIT,XL,15,278.8865222209097,-131.45491452115436,689.2279589623624,14985,6,INCIERTO
SHOUYANG FRUIT,LD,3,-0.27876988041680306,-0.4666288040697481,-0.09091095804442659,14985,6,PEOR
SHOUYANG FRUIT,LD,4,274.6704432684928,267.4937852891675,281.847101059691,14985,6,MEJOR
SHOUYANG FRUIT,LD,5,-0.4327132279286161,-0.5350426350676794,-0.3303838207895529,14985,6,PEOR
SHOUYANG FRUIT,LD,6,0.33708206940252694,0.2267537328733838,0.4474104057434046,14985,6,MEJOR
SHOUYANG FRUIT,LD,7,-0.031860404599275166,-0.09131532681984471,0.02759451762129636,14985,6,INCIERTO
SHOUYANG FRUIT,LD,8,-0.34252084852778353,-0.5034324427163148,-0.18160925426649274,14985,6,PEOR
SHOUYANG FRUIT,LD,9,0.9598383785894384,0.8882968815961965,1.031379875573358,14985,6,MEJOR
SHOUYANG FRUIT,LD,10,-0.39517534524202347,-0.4797423776612507,-0.3106083090975059,14985,6,PEOR
SHOUYANG FRUIT,LD,11,-26.30462351289134,-52.40284207854718,-0.20640494811589605,14985,6,PEOR
SHOUYANG FRUIT,LD,12,143.47546025167503,107.38369616298661,179.56722434003603,14985,6,MEJOR
SHOUYANG FRUIT,LD,13,148.34233598559513,-180.86380256042793,477.5484768255238,14985,6,INCIERTO
SHOUYANG FRUIT,LD,14,-179.17625310158996,-253.7102278575013,-104.6422783450329,14985,6,PEOR
SHOUYANG FRUIT,LD,15,-28.194013334577903,-43.81340464414285,-12.574622025362206,14985,6,PEOR
SHOUYANG FRUIT,L,3,-0.4745242133649299,-0.6576744514021516,-0.2913739753204322,14985,6,PEOR
SHOUYANG FRUIT,L,4,-74.98516142688459,-78.52155328275948,-71.4487701811424,14985,6,PEOR
SHOUYANG FRUIT,L,5,-5.189561022911221,-8.445467657094978,-1.933654429705658,14985,6,PEOR
SHOUYANG FRUIT,L,6,-76.77608572877944,-78.54146543935268,-75.01070673159929,14985,6,PEOR
SHOUYANG FRUIT,L,7,0.0074462544380367035,-0.3395741031829919,0.35446661206634117,14985,6,INCIERTO
SHOUYANG FRUIT,L,8,0.4960994737703004,0.3365505770434296,0.6556483705699307,14985,6,MEJOR
SHOUYANG FRUIT,L,9,-18.421150064627,-45.94219188706562,9.099891757840716,14985,6,INCIERTO
